Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 1.3146937, s: 4.404449, p: 3.7511468, d: 2.4831104, eval: 1:256 2:-816 3:376]
Herbivore: [w: 2.4418585, s: 3.9823895, p: 3.3809595, d: 4.259102, eval: 1:719 2:445 3:534]
Herbivore: [w: 4.593246, s: 3.3518672, p: 0.0476712, d: 2.000513, eval: 1:607 2:182 3:-423]
Herbivore: [w: 4.7892985, s: 4.5104923, p: 4.449641, d: 3.0752974, eval: 1:420 2:-59 3:828]
Carnivore: [w: 4.914336, s: 4.248144, p: 4.2118907, d: 1.2624687, eval: 1:500 2:464 3:-659]
Carnivore: [w: 4.3100734, s: 0.5734867, p: 4.327217, d: 4.7969666, eval: 1:918 2:-170 3:-687]
Carnivore: [w: 1.23395, s: 4.965555, p: 1.9545335, d: 0.75238943, eval: 1:-963 2:560 3:-352]
Carnivore: [w: 2.0071435, s: 3.5219188, p: 1.455993, d: 4.546661, eval: 1:-797 2:-184 3:-578]
Carnivore: [w: 2.7527528, s: 0.4629135, p: 3.580333, d: 4.1085234, eval: 1:277 2:-285 3:549]
Carnivore: [w: 2.1918142, s: 3.3059149, p: 1.3504958, d: 0.7171732, eval: 1:-284 2:837 3:24]
Carnivore: [w: 4.099737, s: 1.8944913, p: 2.1269588, d: 0.916307, eval: 1:-160 2:699 3:-502]
Carnivore: [w: 1.669738, s: 1.1958253, p: 4.938598, d: 2.0760436, eval: 1:-718 2:366 3:628]
Carnivore: [w: 0.44423276, s: 1.0397261, p: 4.6242433, d: 2.368166, eval: 1:48 2:-557 3:103]
Carnivore: [w: 0.29482922, s: 1.3797367, p: 3.7257195, d: 2.2484326, eval: 1:-346 2:775 3:37]
Carnivore: [w: 2.825463, s: 1.894564, p: 0.5973047, d: 0.4375422, eval: 1:-966 2:746 3:-64]
Carnivore: [w: 3.8352127, s: 0.4613465, p: 1.9674665, d: 4.9830236, eval: 1:-746 2:-469 3:-32]
Carnivore: [w: 4.5627623, s: 0.47950566, p: 0.11975527, d: 3.2460225, eval: 1:-391 2:-332 3:-577]
